c3.2xlarge,m3.large,m3.xlarge,pi,tk1,
101801.0,96334.0,101834.0,128657.0,40083.0,
101912.0,96522.0,101326.0,132326.0,40671.0,
101014.0,95685.0,102916.0,132451.0,37740.0,
101515.0,95025.0,100955.0,127201.0,44215.0,
105632.0,97819.0,100437.0,127449.0,42255.0,
103351.0,97412.0,101149.0,127364.0,42140.0,
104517.0,97638.0,105340.0,132318.0,40627.0,
106118.0,98784.0,100719.0,131887.0,45562.0,
106398.0,98554.0,99274.0,136472.0,43913.0,
108570.0,97444.0,103995.0,134489.0,45236.0,
99309.0,97648.0,100629.0,132692.0,39346.0,
105478.0,98948.0,101966.0,132170.0,43604.0,
108981.0,97151.0,100892.0,134649.0,41628.0,
105018.0,98094.0,103988.0,128396.0,46441.0,
103942.0,99026.0,104740.0,137096.0,44375.0,
103784.0,99869.0,102138.0,134997.0,38849.0,
110534.0,100508.0,104050.0,133720.0,41493.0,
107239.0,98368.0,107406.0,135134.0,40783.0,
104894.0,99835.0,103889.0,139423.0,41002.0,
106719.0,99572.0,103965.0,137014.0,43016.0,
105836.0,100753.0,103979.0,128606.0,41855.0,
107507.0,99738.0,103312.0,135033.0,42892.0,
106099.0,100779.0,108526.0,135531.0,45163.0,
106310.0,100835.0,106587.0,136767.0,42414.0,
106820.0,102128.0,104308.0,135701.0,47436.0,
108911.0,101499.0,105849.0,136652.0,44822.0,
109960.0,101835.0,107189.0,139050.0,47745.0,
106895.0,100805.0,103240.0,138557.0,43238.0,
104613.0,102112.0,105263.0,143418.0,43465.0,
106940.0,101785.0,104689.0,134622.0,45369.0,
107024.0,103662.0,106909.0,136032.0,41043.0,
103831.0,100651.0,107305.0,139735.0,43640.0,
106898.0,103966.0,111476.0,142056.0,42351.0,
112102.0,103288.0,107087.0,134373.0,43468.0,
110467.0,103416.0,107423.0,140456.0,43964.0,
117329.0,104071.0,112470.0,140119.0,41609.0,
113567.0,105059.0,110057.0,140945.0,47254.0,
110929.0,104640.0,109558.0,138362.0,42713.0,
112314.0,102496.0,110351.0,134258.0,43488.0,
113567.0,102834.0,109809.0,143547.0,41443.0,
113464.0,103629.0,108853.0,139642.0,39280.0,
110655.0,101888.0,110027.0,142489.0,41869.0,
111875.0,102869.0,108499.0,141309.0,44989.0,
115980.0,105514.0,114279.0,139218.0,39867.0,
107328.0,105974.0,108488.0,148534.0,41401.0,
112117.0,105466.0,110316.0,142279.0,40005.0,
105561.0,103594.0,110373.0,131242.0,42495.0,
105689.0,104380.0,109019.0,137235.0,40186.0,
115622.0,103051.0,111253.0,141475.0,40380.0,
111962.0,104599.0,110549.0,134716.0,41078.0,
108635.0,104257.0,110513.0,139424.0,41764.0,
104164.0,105045.0,110997.0,140751.0,46443.0,
111658.0,104688.0,111247.0,136525.0,45294.0,
113721.0,105586.0,110878.0,144289.0,47788.0,
111114.0,106453.0,112696.0,138958.0,52532.0,
111664.0,107677.0,112765.0,143619.0,49483.0,
116095.0,105314.0,111160.0,146407.0,45926.0,
116319.0,108284.0,113564.0,144912.0,46518.0,
114239.0,108804.0,113118.0,146368.0,43275.0,
115614.0,108793.0,114104.0,143584.0,48258.0,
115148.0,107800.0,113410.0,144120.0,42138.0,
116045.0,107765.0,112117.0,141568.0,46675.0,
114908.0,108021.0,110733.0,139608.0,49296.0,
116181.0,107799.0,111050.0,144757.0,48977.0,
115993.0,108935.0,110819.0,147288.0,50315.0,
118095.0,108071.0,115994.0,144122.0,47674.0,
115949.0,107443.0,113494.0,146031.0,43173.0,
117328.0,107712.0,112819.0,150843.0,46017.0,
116425.0,107684.0,113625.0,145718.0,45798.0,
114404.0,108511.0,113949.0,148273.0,44886.0,
115726.0,109511.0,114742.0,145229.0,46375.0,
112129.0,110821.0,117348.0,134639.0,46844.0,
112573.0,110791.0,114100.0,149031.0,48193.0,
112812.0,110690.0,112734.0,144429.0,43356.0,
109305.0,111046.0,113306.0,147692.0,47232.0,
