AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,
2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86998.0,86517.0,33836.0,91206.0,142525.0,59778.0,47288.0,63571.0,33256.0,153101.0,143279.0,82227.0,27360.0,29688.0,35493.0,50781.0,87708.0,32109.0,56542.0,81263.0,117510.0,45751.0,64816.0,48364.0,102383.0,45399.0,52086.0,94706.0,99185.0,62731.0,55576.0,28089.0,28780.0,43968.0,59406.0,83014.0,69334.0,160277.0,90669.0,152309.0,27558.0,31959.0,36858.0,56820.0,25023.0,101981.0,69330.0,184788.0,60210.0,33089.0,28131.0,161314.0,44011.0,87055.0,48962.0,128511.0,36456.0,107315.0,45500.0,32423.0,63957.0,48331.0,70823.0,120979.0,
90935.0,113047.0,29648.0,122441.0,99680.0,51190.0,59147.0,66926.0,34040.0,194072.0,132128.0,72718.0,34611.0,34670.0,33722.0,57566.0,143663.0,36281.0,80278.0,71275.0,69439.0,74245.0,67048.0,38337.0,58501.0,59543.0,78340.0,66243.0,133051.0,42588.0,43854.0,82223.0,26836.0,59646.0,64043.0,107301.0,64586.0,128628.0,72809.0,142154.0,57658.0,37381.0,58998.0,51903.0,24006.0,139140.0,58881.0,109058.0,80846.0,26858.0,38375.0,130494.0,42699.0,83585.0,39014.0,113981.0,43176.0,101174.0,58233.0,39838.0,93294.0,74121.0,59727.0,74313.0,
91434.0,75503.0,37958.0,170946.0,110446.0,81321.0,58756.0,63997.0,37955.0,159706.0,162187.0,54325.0,62364.0,31490.0,32474.0,61344.0,71235.0,33653.0,88109.0,140243.0,52947.0,73704.0,64469.0,49532.0,88218.0,60675.0,50864.0,61517.0,131481.0,50231.0,66911.0,74285.0,26886.0,58057.0,41783.0,107969.0,55758.0,104396.0,74091.0,91371.0,32424.0,32702.0,54231.0,86284.0,26624.0,100357.0,80095.0,224422.0,88142.0,24141.0,32222.0,137911.0,59438.0,95375.0,47941.0,115663.0,36777.0,137026.0,59443.0,35740.0,69747.0,55865.0,31867.0,97327.0,
82874.0,90722.0,33689.0,175004.0,67083.0,74250.0,42769.0,60106.0,39931.0,144295.0,138255.0,63875.0,54527.0,35504.0,40760.0,52282.0,81012.0,34741.0,89452.0,123183.0,68060.0,97937.0,54395.0,43835.0,72145.0,51367.0,53040.0,70361.0,139895.0,36346.0,52552.0,45769.0,28889.0,73937.0,65803.0,100378.0,61722.0,179436.0,68233.0,185732.0,30779.0,34686.0,50284.0,72157.0,23113.0,156994.0,155866.0,122987.0,87102.0,24166.0,31151.0,153352.0,42888.0,116703.0,45906.0,103995.0,43755.0,113831.0,31566.0,32665.0,74453.0,53998.0,32281.0,102684.0,
76030.0,76028.0,31078.0,214295.0,112771.0,57500.0,70494.0,61538.0,44058.0,111239.0,151377.0,66925.0,35367.0,30132.0,40705.0,61630.0,75839.0,37687.0,166210.0,60594.0,70851.0,59684.0,60833.0,41231.0,103742.0,56587.0,46735.0,90485.0,116155.0,55921.0,49489.0,52213.0,29271.0,56299.0,51239.0,120737.0,63327.0,128770.0,57152.0,185161.0,36498.0,36773.0,70218.0,80087.0,28293.0,137190.0,91548.0,132918.0,79703.0,25407.0,57592.0,127032.0,41072.0,83582.0,62000.0,94410.0,40045.0,92444.0,31314.0,40465.0,54270.0,89406.0,28780.0,102563.0,
68015.0,160346.0,30517.0,122050.0,135853.0,80228.0,61392.0,103557.0,35996.0,106418.0,148796.0,91593.0,45787.0,33282.0,33769.0,68120.0,84590.0,34989.0,116019.0,129102.0,65340.0,80640.0,137400.0,39146.0,175674.0,42547.0,42974.0,80326.0,122156.0,79471.0,61766.0,45856.0,30862.0,49383.0,49374.0,125368.0,60301.0,139581.0,80636.0,117497.0,30177.0,37246.0,61318.0,67512.0,29460.0,161033.0,178575.0,185182.0,62115.0,27818.0,33800.0,127869.0,48069.0,139528.0,52338.0,150077.0,60185.0,99291.0,51027.0,38689.0,84623.0,91660.0,30140.0,193455.0,
45248.0,104917.0,31635.0,160803.0,125179.0,53548.0,64444.0,114739.0,35307.0,150166.0,153228.0,88098.0,54838.0,35226.0,40751.0,55988.0,88007.0,37223.0,107906.0,98572.0,81434.0,55986.0,67869.0,43947.0,102469.0,56820.0,57408.0,71306.0,108241.0,67517.0,72335.0,37690.0,27382.0,86302.0,48508.0,114778.0,63483.0,122594.0,80279.0,127174.0,31221.0,37234.0,58494.0,60247.0,24074.0,119619.0,95202.0,135186.0,63234.0,30408.0,32204.0,168140.0,47917.0,67724.0,47271.0,65463.0,38848.0,167659.0,32615.0,36494.0,56779.0,125408.0,40984.0,192278.0,
99171.0,121514.0,26726.0,147487.0,126809.0,101432.0,50418.0,107727.0,37207.0,150869.0,138394.0,68580.0,43958.0,32485.0,42611.0,56273.0,174229.0,36878.0,93566.0,118759.0,53547.0,53535.0,71884.0,38280.0,161626.0,43629.0,46899.0,78102.0,82219.0,41620.0,64065.0,68813.0,27835.0,59537.0,47138.0,148058.0,57571.0,188827.0,67991.0,168439.0,42526.0,35566.0,62703.0,63840.0,28192.0,121295.0,91189.0,103911.0,73592.0,28031.0,34336.0,117698.0,40148.0,82291.0,64493.0,118852.0,40110.0,124420.0,33088.0,36678.0,82927.0,100561.0,38183.0,87696.0,
70377.0,111112.0,30743.0,208451.0,119973.0,113502.0,59780.0,112923.0,40428.0,122370.0,168529.0,70969.0,36166.0,33795.0,32521.0,90637.0,77061.0,53293.0,76015.0,117437.0,56468.0,39060.0,191372.0,38887.0,80591.0,53701.0,69839.0,64605.0,99546.0,45615.0,64534.0,85963.0,34341.0,62255.0,55303.0,122743.0,63708.0,152003.0,57987.0,167076.0,30467.0,34473.0,60805.0,100092.0,32340.0,114055.0,182954.0,147742.0,78080.0,36147.0,37951.0,199366.0,42530.0,154215.0,47571.0,86810.0,48335.0,108000.0,54734.0,34521.0,49645.0,44675.0,43965.0,102094.0,
77886.0,126952.0,27827.0,185701.0,148504.0,70020.0,58266.0,114027.0,39050.0,119970.0,152038.0,84169.0,57230.0,33434.0,35356.0,49898.0,64069.0,44079.0,47293.0,151771.0,76602.0,59311.0,59697.0,42601.0,91500.0,47272.0,70256.0,87901.0,124303.0,50345.0,71240.0,65368.0,31482.0,74463.0,62732.0,153409.0,44074.0,176001.0,63958.0,160274.0,40321.0,41658.0,50659.0,70989.0,39918.0,123894.0,195163.0,128789.0,79955.0,30387.0,40783.0,91978.0,48272.0,135963.0,37953.0,120257.0,32691.0,133106.0,45760.0,34164.0,55508.0,51139.0,42428.0,90200.0,
68126.0,113878.0,33573.0,242655.0,159237.0,65255.0,71351.0,75921.0,39371.0,99415.0,134187.0,88140.0,69776.0,39862.0,35055.0,84593.0,108621.0,40448.0,124598.0,132801.0,50103.0,71965.0,97744.0,48681.0,99988.0,47343.0,141831.0,76020.0,144310.0,56083.0,65891.0,58696.0,36038.0,68164.0,47509.0,121015.0,68444.0,146396.0,91387.0,163397.0,39089.0,36342.0,63460.0,66617.0,33232.0,191740.0,189541.0,99464.0,60224.0,27577.0,52126.0,138855.0,49355.0,98689.0,53645.0,105688.0,41901.0,101159.0,48124.0,37617.0,84664.0,67344.0,52341.0,148711.0,
72359.0,77356.0,33042.0,208038.0,133308.0,99824.0,62106.0,137375.0,36616.0,125333.0,145159.0,77083.0,72674.0,37964.0,35835.0,74794.0,87534.0,50291.0,86621.0,139901.0,86783.0,57499.0,163152.0,48494.0,120509.0,41032.0,165775.0,54464.0,120879.0,75131.0,87758.0,99393.0,31185.0,92168.0,51626.0,170028.0,53262.0,142151.0,61834.0,118275.0,44874.0,37989.0,56309.0,56714.0,34213.0,183900.0,118096.0,128287.0,65961.0,31348.0,32258.0,132005.0,43483.0,92163.0,66510.0,133474.0,66090.0,98781.0,58656.0,37056.0,88065.0,60155.0,48377.0,120407.0,
94712.0,162931.0,29599.0,148165.0,137704.0,58129.0,45417.0,58097.0,39545.0,145339.0,178915.0,70276.0,48878.0,33369.0,32637.0,70792.0,87753.0,48578.0,59953.0,75819.0,115567.0,58581.0,171920.0,43331.0,107913.0,39609.0,75909.0,74247.0,92054.0,77163.0,62026.0,79306.0,30615.0,59646.0,48873.0,144740.0,56895.0,155482.0,99160.0,183710.0,38484.0,34450.0,60452.0,80792.0,33721.0,159703.0,168987.0,115981.0,82115.0,33094.0,35020.0,136009.0,48411.0,88690.0,61030.0,102465.0,73639.0,110617.0,60394.0,38440.0,99604.0,53845.0,50517.0,183634.0,
91953.0,163634.0,34964.0,162947.0,70355.0,48384.0,52323.0,104030.0,39110.0,110985.0,155326.0,91343.0,67454.0,37910.0,32104.0,89033.0,55967.0,50992.0,91700.0,139954.0,112814.0,83417.0,86892.0,42211.0,132165.0,67577.0,88011.0,79417.0,100125.0,64297.0,92325.0,89669.0,33013.0,78272.0,50631.0,260232.0,90124.0,139939.0,99692.0,223248.0,37705.0,39872.0,68872.0,97890.0,29497.0,198652.0,164109.0,107708.0,94759.0,29589.0,37610.0,136195.0,50461.0,112670.0,57739.0,104428.0,40664.0,152905.0,61743.0,39125.0,71902.0,56051.0,56625.0,117636.0,
